land_area,price,region
1.3 га,4800000.0,"Республика Бурятия, Кабанский р-н, с. Инкино"
5 сот,500000.0,"Ставропольский край, Предгорный муниципальный округ, пос. Мирный"
13.2 сот,1100000.0,"Пермский край, Пермский р-н, Гамовское сельское поселение, д. Сакмары"
13 сот,200000.0,"Камчатский край, Усть-Большерецкий р-н, с. Усть-Большерецк"
16 сот,500000.0,"Рязанская область, Рыбновский р-н, Пощуповское сельское поселение, с. Пощупово"
6 сот,60000.0,"Республика Татарстан, Балтасинский р-н"
10 сот,180000.0,"Республика Бурятия, Иволгинский р-н, с. Гурульба"
13.5 сот,1200000.0,"Рязанская область, Рязанский р-н, Заборьевское сельское поселение, с. Заборье"
14 сот,300000.0,"Пермский край, Пермский р-н, Усть-Качкинское сельское поселение, д. Качка"
12 сот,400000.0,"Республика Бурятия, Кабанский р-н, пос. Танхой"
6 сот,247000.0,"Тюменская область, Сургут"
12 сот,220000.0,"Республика Хакасия, Алтайский р-н"
12 сот,1850000.0,"Ростовская область, Аксайский р-н, Аксайское городское поселение, Аксай, садоводческое товарищество Надежда-Ива"
10 сот,100000.0,"Оренбургская область, Оренбургский р-н, СНТ Сулак"
8 сот,1500000.0,"Новосибирская область, Новосибирский р-н, Каменский сельсовет"
12 га,999000.0,"Красноярский край, Емельяновский р-н, с. Талое"
8 сот,150000.0,"Тюменская область, Тюмень, садовое товарищество Липовый Остров"
10 сот,160000.0,"Красноярский край, Емельяновский р-н, садовые участки"
12.5 сот,410000.0,"Алтайский край, Бийск"
6 сот,110000.0,"Новосибирская область, Новосибирский р-н, Раздольненский сельсовет, садоводческое товарищество Медик"
12.5 сот,410000.0,"Алтайский край, Бийск"
7.5 га,200000.0,"Новосибирская область, Новосибирский р-н, садоводческое некоммерческое товарищество Украина"
50 сот,1400000.0,"Республика Алтай, Чемальский р-н, с. Элекмонар"
2060 га,200000.0,"Красноярский край, Краснотуранский р-н, с. Краснотуранск"
8.8 сот,430000.0,"Тюменская область, Тюмень"
12 сот,300000.0,"Алтайский край, Первомайский р-н, пос. Новый"
13 сот,590000.0,
6 сот,950000.0,
68 сот,5200000.0,
7.2 сот,870000.0,"Владимирская область, Суздальский р-н, пос. Боголюбово"
30 сот,1050000.0,"Орловская область, Орловский муниципальный округ, пос. Садовый"
8 сот,1800000.0,"Камчатский край, Елизовский р-н, пос. Раздольный"
9 сот,1100000.0,
125.51 га,160000.0,
14 сот,1680000.0,
8.5 сот,700000.0,"Амурская область, Благовещенск"
6 сот,250000.0,Астраханская область
6 сот,250000.0,"Томская область, Томский р-н, с. Корнилово"
5 сот,140000.0,"Омская область, Омск, садоводческое некоммерческое товарищество Звёздочка"
11 сот,300000.0,"Кемеровская область, Кемеровский муниципальный округ, СНТ Наука"
25 сот,380000.0,"Пензенская область, Шемышейский р-н, с. Старое Захаркино"
10 сот,489000.0,"Хабаровский край, Хабаровск"
21 сот,400000.0,"Самарская область, Большеглушицкий р-н, с. Большая Глушица"
10 га,350000.0,"Алтайский край, Алтайский р-н, с. Комар"
16.5 сот,14000000.0,"Московская область, Балашиха"
15 сот,5000000.0,"Краснодарский край, Туапсинский р-н, пос. городского типа Новомихайловский"
680.3 га,30000000.0,"Красноярский край, Минусинский р-н, д. Солдатово"
10.9 сот,500000.0,"Тюменская область, Тюменский р-н, рабочий пос. Винзили"
15 сот,460000.0,"Тюменская область, Тюменский р-н, д. Ушакова, коттеджный пос. Ушаково"
56 сот,50000.0,"Красноярский край, Красноярск"
10 сот,450000.0,"Новосибирская область, Коченёвский муниципальный р-н, СНТ Лазурит"
18 сот,4999000.0,"Московская область, Раменский г.о., ДНТ Фортуна"
10 сот,350000.0,"Республика Хакасия, Саяногорск"
15 сот,1650000.0,"Краснодарский край, Брюховецкий р-н, станица Брюховецкая"
12 сот,1220000.0,"Иркутская область, Иркутский р-н, СНТ Ель"
29 сот,5800000.0,"Пермский край, Пермь, коттеджный пос. Южный берег"
8 сот,1100000.0,"Московская область, г.о. Чехов, СНТ Мичуринец-2"
7 сот,400000.0,"Новосибирская область, Новосибирский р-н, Березовский сельсовет, СНТ Междуречье"
21 сот,250000.0,"Калужская область, Дзержинский р-н, д. Пятовская"
12 сот,1070000.0,"Московская область, г.о. Чехов, д. Пешково"
7 сот,350000.0,"Московская область, г.о. Павловский Посад, д. Кузнецы, коттеджный пос. Кузнецы-3"
20 сот,500000.0,"Новосибирская область, Ордынский р-н, д. Новый Шарап"
15 сот,350000.0,"Томская область, Томский р-н, коттеджный пос. Журавли"
12 сот,1499000.0,"Хабаровский край, Хабаровск"
10 сот,300000.0,"Кемеровская область, Беловский г.о., Белово"
51 сот,280000.0,Тверская область
8 сот,40000.0,"Красноярский край, Емельяновский р-н, СНТ Ветеран-9"
22 сот,200000.0,"Красноярский край, Назарово"
30 сот,100000.0,"Красноярский край, Шарыповский р-н"
12 сот,150000.0,"Пермский край, Лысьвенский г.о., Лысьва"
12 сот,1199000.0,"Тюменская область, Ханты-Мансийский р-н, сельское поселение Шапша, д. Ярки"
15 сот,230000.0,"Республика Хакасия, Усть-Абаканский р-н, с. Зелёное"
2.50 га,16450000.0,"Тюменская область, Тюменский р-н, д. Паренкина"
7 сот,2500000.0,"Московская область, Раменский г.о., с. Речицы"
5 сот,100000.0,"Краснодарский край, Крымский р-н, Крымск"
2.50 га,16450000.0,"Тюменская область, Тюменский р-н, д. Паренкина"
5 сот,100000.0,"Краснодарский край, Крымский р-н, Крымск"
10 сот,1420000.0,"Иркутская область, Иркутский р-н"
13 сот,1299000.0,"Хабаровский край, Хабаровский р-н, с. Тополево"
10 сот,500000.0,"Сахалинская область, г.о. Южно-Сахалинск, СНТ Метеоролог"
15 сот,2000000.0,"Камчатский край, Елизовский р-н, пос. Термальный"
41 сот,2500000.0,"Московская область, г.о. Чехов, д. Высоково"
10 сот,300000.0,
46 сот,899000.0,
5 сот,2600000.0,
20 сот,250000.0,"Иркутская область, Иркутский р-н, СНТ Виктория"
7 сот,350000.0,"Республика Алтай, Горно-Алтайск"
10 сот,80000.0,"Красноярский край, Минусинский р-н, с. Селиваниха"
11 сот,12000000.0,
200 га,100000000.0,
7 сот,385000.0,
15 сот,390000.0,"Иркутская область, Иркутский р-н, пос. Нижний Кочергат"
15 сот,600000.0,"Ленинградская область, Волосовский р-н, Волосовское городское поселение, д. Лагоново"
7 га,1000000.0,"Калужская область, Медынский р-н, д. Мошарово"
15 га,800000.0,"Новосибирская область, Куйбышевский р-н, д. Мангазерка"
20 сот,700000.0,"Республика Татарстан, Пестречинский р-н, Пестречинское сельское поселение, с. Большие Бутырки"
4 га,750000000.0,"Краснодарский край, г.о. Сочи, с. Эстосадок"
15 сот,850000.0,"Тюменская область, Тюменский р-н, д. Головина"
15 сот,700000.0,"Омская область, Омский р-н, д. Верхний Карбуш"
9 сот,730000.0,"Республика Бурятия, Улан-Удэ"
6 сот,130000.0,"Хабаровский край, Хабаровский р-н, Садовое товарищество Рябинка"
8.3 сот,1350000.0,"Республика Татарстан, Тукаевский р-н, Малошильнинское сельское поселение, ДНП УК Усадьба"
12 сот,300000.0,"Челябинская область, Чебаркульский р-н, д. Сарафаново"
10 сот,120000.0,"Красноярский край, Ачинский р-н, Преображенский сельсовет, д. Игинка"
15 сот,280000.0,"Хабаровский край, Хабаровский р-н, с. Матвеевка"
10 сот,600000.0,"Воронежская область, Хохольский р-н, с. Новогремяченское"
14 га,2000000.0,"Республика Алтай, Чемальский р-н, с. Бешпельтир"
6 сот,180000.0,"Республика Бурятия, Заиграевский р-н, СНТ Восход"
8.4 сот,1700000.0,"Республика Татарстан, Казань"
11 сот,350000.0,"Республика Татарстан, Тукаевский р-н"
24 га,400000.0,"Омская область, Омск"
23 сот,160000.0,"Кемеровская область, Новокузнецкий р-н, с. Атаманово"
58.8 сот,12000000.0,"Кемеровская область, Новокузнецкий г.о., Новокузнецк"
11 сот,550000.0,"Красноярский край, Минусинск"
2 сот,235000.0,"Тамбовская область, Моршанский р-н, с. Коршуновка"
6 сот,1100000.0,"Московская область, г.о. Пушкинский, садовое товарищество Ольшанка-2"
15 сот,90000.0,"Кемеровская область, Мариинский р-н"
10 сот,4000000.0,"Хабаровский край, Хабаровск"
6 сот,250000.0,"Курганская область, Курган, садоводческое некоммерческое товарищество Автомобилист"
13 сот,80000.0,"Республика Хакасия, Алтайский р-н, с. Белый Яр"
5 сот,900000.0,"Калининградская область, Гурьевский г.о., пос. Заозерье"
17 сот,1100000.0,"Хабаровский край, Хабаровск"
10 сот,370000.0,"Амурская область, Благовещенск"
25 сот,130000.0,"Кемеровская область, Прокопьевский муниципальный округ"
13 сот,2000000.0,"Тюменская область, Ноябрьск"
6 сот,50000.0,"Челябинская область, Сосновский р-н"
9 сот,270000.0,"Волгоградская область, Волжский"
9.9 сот,683100.0,"Московская область, г.о. Домодедово, д. Курганье"
15 сот,400000.0,"Краснодарский край, Приморско-Ахтарский р-н, станица Бородинская"
5 сот,150000.0,"Республика Бурятия, Заиграевский р-н, СНТ Солнечный"
6 сот,30000.0,"Забайкальский край, Читинский р-н, с. Угдан, СНТ № 95 Полёт"
9 сот,165000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
8 сот,150000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
9 сот,165000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
10 сот,180000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
9.3 сот,169000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
12.5 сот,217000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
9 сот,165000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
10 сот,1500000.0,
10 сот,600000.0,
12.5 сот,8457750.0,
10 сот,180000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
10 сот,180000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
10.6 сот,190000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
14.2 сот,5500000.0,
7.5 сот,160000.0,
,1000000.0,
10 сот,180000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
9 сот,165000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
9 сот,165000.0,"Калининградская область, Гвардейский г.о., пос. Березовка"
22 сот,8500000.0,"Московская область, г.о. Мытищи, д. Жостово"
10 сот,400000.0,"Курская область, Курский р-н, коттеджный пос. 1-я Моква"
63 сот,3500.0,"Красноярский край, Минусинск"
13 сот,600000.0,"Самарская область, Нефтегорский р-н, с. Дмитриевка"
21 сот,80000.0,"Алтайский край, Рубцовский р-н, с. Веселоярск"
3.2 га,380000000.0,"Краснодарский край, г.о. Сочи, пос. городского типа Красная Поляна"
10 сот,350000.0,"Ленинградская область, Выборгский р-н, Гончаровское сельское поселение, пос. Барышево"
15 сот,35650000.0,"Краснодарский край, г.о. Сочи, пос. городского типа Красная Поляна"
9 сот,1500000.0,"Республика Саха (Якутия), Якутск"
18 сот,750000.0,"Московская область, Можайский г.о., д. Мышкино"
12 га,550000.0,"Республика Дагестан, Ахтынский р-н, с. Ахты"
40 сот,2500000.0,"Иркутская область, Ольхонский р-н, д. Харанцы"
15 сот,400000.0,"Московская область, г.о. Воскресенск, д. Гостилово"
10 сот,30000.0,"Ивановская область, Лежневский р-н"
10 сот,500000.0,"Астраханская область, Наримановский р-н, пос. Мирный"
8 сот,180000.0,"Хабаровский край, Хабаровск"
8 сот,280000.0,"Новосибирская область, Новосибирский р-н, СНТ Водолей"
7 сот,400000.0,"Воронежская область, Новоусманский р-н, с. Новая Усмань"
15 сот,1700000.0,"Краснодарский край, Туапсинский р-н, аул Агуй-Шапсуг"
12 сот,5000000.0,"Республика Дагестан, Махачкала"
10 сот,699999.0,"Московская область, г.о. Истра, д. Рыбушки"
6 сот,80000.0,"Республика Северная Осетия — Алания, Пригородный р-н, садоводческое товарищество Победит"
12.2 сот,1600000.0,"Кемеровская область, Кемеровский муниципальный округ, д. Сухово"
7 сот,210000.0,"Республика Татарстан, Высокогорский р-н, с. Шигали"
43 сот,5000000.0,"Иркутская область, Иркутский р-н, пос. Никола"
15 сот,155000.0,"Республика Татарстан, Мамадышский р-н, муниципальное образование город Мамадыш, Мамадыш"
6.8 сот,60000000.0,"Краснодарский край, Сочи"
7 сот,1700000.0,"Московская область, Ленинский г.о., с. Молоково"
11.6 сот,300000.0,"Пермский край, Лысьвенский г.о., Лысьва"
1.37 га,1450000.0,"Псковская область, Гдовский р-н, д. Хитово"
8.3 сот,350000.0,"Хабаровский край, Хабаровск"
6 сот,950000.0,"Ставропольский край, Предгорный муниципальный округ, станица Ессентукская"
6.3 сот,5500000.0,"Краснодарский край, г.о. Сочи, с. Бестужевское"
15 сот,350000.0,"Тюменская область, Заводоуковский г.о., Заводоуковск, СНТ Раздолье"
10 сот,2300000.0,"Хабаровский край, Хабаровск"
15 сот,300000.0,"Челябинская область, Сосновский р-н, д. Альмеева"
15 сот,1300000.0,"Псковская область, Куньинский р-н, д. Подколодье"
3.2 га,380000000.0,"Краснодарский край, г.о. Сочи, пос. городского типа Красная Поляна"
15 сот,35650000.0,"Краснодарский край, г.о. Сочи, пос. городского типа Красная Поляна"
9 сот,1500000.0,"Республика Саха (Якутия), Якутск"
18 сот,750000.0,"Московская область, Можайский г.о., д. Мышкино"
12 га,550000.0,"Республика Дагестан, Ахтынский р-н, с. Ахты"
40 сот,2500000.0,"Иркутская область, Ольхонский р-н, д. Харанцы"
15 сот,400000.0,"Московская область, г.о. Воскресенск, д. Гостилово"
8 сот,450000.0,
9.5 сот,3900000.0,
12 га,999000.0,
10 сот,30000.0,"Ивановская область, Лежневский р-н"
10 сот,500000.0,"Астраханская область, Наримановский р-н, пос. Мирный"
8 сот,180000.0,"Хабаровский край, Хабаровск"
10 сот,300000.0,
22 сот,11000000.0,
,1000000.0,
8 сот,280000.0,"Новосибирская область, Новосибирский р-н, СНТ Водолей"
7 сот,400000.0,"Воронежская область, Новоусманский р-н, с. Новая Усмань"
15 сот,1700000.0,"Краснодарский край, Туапсинский р-н, аул Агуй-Шапсуг"
12 сот,5000000.0,"Республика Дагестан, Махачкала"
10 сот,699999.0,"Московская область, г.о. Истра, д. Рыбушки"
6 сот,80000.0,"Республика Северная Осетия — Алания, Пригородный р-н, садоводческое товарищество Победит"
12.2 сот,1600000.0,"Кемеровская область, Кемеровский муниципальный округ, д. Сухово"
7 сот,210000.0,"Республика Татарстан, Высокогорский р-н, с. Шигали"
43 сот,5000000.0,"Иркутская область, Иркутский р-н, пос. Никола"
15 сот,155000.0,"Республика Татарстан, Мамадышский р-н, муниципальное образование город Мамадыш, Мамадыш"
6.8 сот,60000000.0,"Краснодарский край, Сочи"
7 сот,1700000.0,"Московская область, Ленинский г.о., с. Молоково"
1.37 га,1450000.0,"Псковская область, Гдовский р-н, д. Хитово"
6 сот,950000.0,"Ставропольский край, Предгорный муниципальный округ, станица Ессентукская"
6.3 сот,5500000.0,"Краснодарский край, г.о. Сочи, с. Бестужевское"
11.6 сот,300000.0,"Пермский край, Лысьвенский г.о., Лысьва"
8.3 сот,350000.0,"Хабаровский край, Хабаровск"
15 сот,350000.0,"Тюменская область, Заводоуковский г.о., Заводоуковск, СНТ Раздолье"
10 сот,2300000.0,"Хабаровский край, Хабаровск"
15 сот,300000.0,"Челябинская область, Сосновский р-н, д. Альмеева"
6 сот,1350000.0,"Чеченская Республика, Грозный"
15 сот,1300000.0,"Псковская область, Куньинский р-н, д. Подколодье"
12 сот,100000.0,"Владимирская область, Александровский р-н, муниципальное образование город Струнино, Струнино"
3.4 сот,70000.0,"Ярославская область, Ярославский р-н, д. Кузнечиха, садовые участки"
50 сот,39440555.0,"Забайкальский край, Читинский р-н, с. Смоленка"
100 сот,270000.0,"Калининградская область, Калининград"
13 сот,550000.0,"Ленинградская область, Приозерский р-н, Ларионовское сельское поселение, пос. Коммунары"
6 сот,100000.0,"Рязанская область, Рязань, садоводческое товарищество Весна"
33 сот,500000.0,"Красноярский край, Емельяновский р-н, ДНТ Яблоньки"
15 сот,2300000.0,"Московская область, г.о. Серпухов, д. Ивановское"
20 сот,610000.0,"Владимирская область, Петушинский р-н, д. Головино"
20 сот,649000.0,"Смоленская область, Рославльский р-н, д. Генино"
15 сот,730000.0,"Тульская область, Заокский р-н, коттеджный пос. Романовский Парк"
15 сот,2000000.0,"Амурская область, Благовещенск"
10 сот,370000.0,"Краснодарский край, Северский р-н, пос. городского типа Ильский"
12 сот,430000.0,"Тульская область, муниципальное образование Тула"
14 сот,330000.0,"Челябинская область, Агаповский р-н, с. Агаповка"
3 сот,210000.0,"Челябинская область, Челябинск"
15 сот,155000.0,"Чувашская Республика, Чебоксарский р-н, Синьяльское сельское поселение, д. Яндово, Коттеджный пос. Отрадное"
8 сот,750000.0,"Удмуртская Республика, Воткинск"
8 сот,750000.0,"Удмуртская Республика, Воткинск"
20.4 сот,250000.0,"Тамбовская область, Знаменский р-н, д. Старчики"
12 сот,950000.0,"Владимирская область, Суздальский р-н, с. Ославское"
15 сот,500000.0,"Кемеровская область, Кемеровский г.о., Кемерово"
36 сот,2000000.0,"Республика Дагестан, Карабудахкентский р-н, СНТ Чох-Россо"
4 сот,1350000.0,"Севастополь, садоводческое товарищество Мрия"
1.58 га,1400000.0,"Нижегородская область, г.о. Чкаловск"
9 сот,3100000.0,
7 сот,1399000.0,
10 сот,3500000.0,
20 сот,4950000.0,"Тверская область, Калининский р-н, Никулинское сельское поселение, д. Красново, коттеджный пос. Красново"
10 сот,1500000.0,"Республика Крым, Симферопольский р-н, Добровское сельское поселение, с. Пионерское"
15 сот,350000.0,"Воронежская область, Семилукский р-н, с. Девица"
44.3 сот,1900000.0,
9.5 сот,5000000.0,
10 сот,3600000.0,
11 сот,6200000.0,Севастополь
6 сот,1100000.0,"Севастополь, садовое товарищество Парус-4"
7.5 сот,950000.0,"Республика Татарстан, Лаишевский р-н, д. Тангачи"
13 сот,100000.0,"Самарская область, Сызранский р-н, КСТ Крымза"
4.5 га,350000.0,"Тверская область, Кимрский р-н, д. Малое Яковлево"
12.5 сот,4200000.0,"Амурская область, г.о. Благовещенск, с. Белогорье"
10 сот,135000.0,"Нижегородская область, г.о. Сокольский, д. Белынь"
6 сот,4800000.0,"Ростовская область, Ростов-на-Дону"
8 сот,750000.0,"Московская область, г.о. Павловский Посад, ДНП Грибово-2"
9 сот,1600000.0,"Чеченская Республика, Гудермесский р-н, Гудермесское городское поселение, Гудермес"
34 сот,170000.0,"Псковская область, Себежский р-н"
10 сот,350000.0,"Республика Крым, Сакский р-н, с. Крыловка"
27 сот,2150000.0,"Московская область, г.о. Чехов, д. Мерлеево"
4 сот,6900000.0,"Краснодарский край, Краснодар"
5.6 сот,3600000.0,"Краснодарский край, г.о. Сочи, с. Барановка, садовое товарищество Ветеран"
15 сот,360000.0,"Республика Северная Осетия — Алания, Алагирский р-н, с. Дзуарикау"
9 сот,1550000.0,"Липецкая область, Липецк"
11 сот,150000.0,"Хабаровский край, Хабаровский р-н, с. Новотроицкое"
3.2 сот,1500000.0,"Калининградская область, Зеленоградский г.о., пос. Рыбачий"
6.8 сот,850000.0,"Ленинградская область, Выборгский р-н, Рощинское городское поселение, садоводческое некоммерческое товарищество Луговое"
14 сот,206000.0,"Рязанская область, Спасский р-н, с. Ярустово"
24 сот,750000.0,"Новгородская область, Новгородский р-н, Ракомское сельское поселение, д. Милославское"
5 сот,500000.0,"Республика Крым, Симферопольский р-н, Чистенское сельское поселение, садово-потребительский кооператив Геофизик"
54.57 га,450000.0,"Нижегородская область, Дальнеконстантиновский р-н, с. Маргуша"
30 сот,1400000.0,"Московская область, Одинцовский г.о., Одинцово"
3 га,300000.0,"Красноярский край, Ачинск"
8 сот,600000.0,"Ленинградская область, Ломоносовский р-н, Гостилицкое сельское поселение, коттеджный пос. Прилесье"
10 сот,300000.0,"Воронежская область, Рамонский р-н"
1.1 га,30000.0,"Ивановская область, Иваново"
10 сот,280000.0,"Владимирская область, Александровский р-н, муниципальное образование Посёлок Балакирево, пос. городского типа Балакирево"
35 сот,12000000.0,Москва
9 сот,400000.0,"Ленинградская область, Гатчинский р-н, Вырицкое городское поселение, пос. Новинка"
10 сот,1300000.0,"Ленинградская область, Всеволожский р-н, Сертоловское городское поселение, Сертолово, садовое некоммерческое товарищество Медное Озеро-3"
13.3 сот,80000.0,"Курганская область, Курган"
25 сот,750000.0,"Ленинградская область, Лужский р-н, Толмачёвское городское поселение, д. Муравейно"
1 сот,3000.0,"Московская область, Одинцовский г.о., д. Ликино"
14.5 сот,3450000.0,"Московская область, Пушкинский г.о., д. Данилово"
12.5 сот,143000.0,"Тульская область, муниципальное образование Тула, с. Частое"
8 сот,1000000.0,"Республика Башкортостан, Чишминский р-н, пос. Акманай"
4.2 сот,1600000.0,Севастополь
8 сот,450000.0,"Московская область, г.о. Павловский Посад, коттеджный пос. Радужный"
5 сот,330000.0,"Республика Дагестан, Карабудахкентский р-н, с. Манаскент"
6 сот,3000000.0,"Камчатский край, Елизовский р-н, пос. Нагорный"
12 сот,800000.0,"Орловская область, Орёл"
20 сот,100.0,"Волгоградская область, Городищенский р-н, Орловское сельское поселение, СНТ Нива"
20 сот,290000.0,"Мурманская область, Кольский р-н, городское поселение Молочный, садовое товарищество Высокое"
10 сот,2500000.0,"Московская область, Раменский г.о., д. Плетениха"
10 сот,3500000.0,
7.4 га,750000.0,
7 сот,230000.0,
20 сот,250000.0,"Ленинградская область, Выборгский р-н, Гончаровское сельское поселение, пос. Зверево"
6 сот,600000.0,"Республика Татарстан, Лаишевский р-н, с. Сокуры"
20 сот,250000.0,"Ленинградская область, Выборгский р-н, Гончаровское сельское поселение, пос. Зверево"
6.3 сот,2500000.0,
42 сот,20160000.0,
5 сот,400000.0,
8.5 сот,85000000.0,"Краснодарский край, пос. городского типа Сириус"
5 сот,1900000.0,Севастополь
13 сот,14000000.0,"Краснодарский край, Сочи"
4 сот,1300000.0,"Севастополь, садоводческое товарищество Мрия"
6.6 сот,165000.0,"Московская область, Сергиево-Посадский г.о., пос. Заречный"
7.64 га,4600000.0,"Краснодарский край, г.о. Анапа, хутор Красная Скала"
100 сот,8000000.0,"Республика Крым, г.о. Алушта, пос. Семидворье"
14 сот,450000.0,"Иркутская область, Иркутский р-н, рабочий пос. Маркова"
10 сот,200000.0,"Калининградская область, Гурьевский г.о., пос. Матросово"
5 сот,1150000.0,"Краснодарский край, Сочи"
37 сот,1400000.0,"Республика Крым, Симферопольский р-н, Чистенское сельское поселение, садовые участки Ивушка"
4.5 сот,3500000.0,"Республика Дагестан, Дербент"
62 сот,4950000.0,"Калининградская область, Зеленоградский г.о."
10 сот,700000.0,"Республика Северная Осетия — Алания, Пригородный р-н, с. Гизель"
25 сот,1000000.0,"Тверская область, Вышневолоцкий г.о., пос. Солнечный"
6 сот,570000.0,"Московская область, г.о. Солнечногорск, д. Алексеевское"
4 га,500000.0,"Краснодарский край, Мостовский р-н, станица Хамкетинская"
7.4 га,750000.0,"Рязанская область, Шацкий р-н, с. Малое Агишево"
8 сот,880000.0,"Московская область, г.о. Ступино, СНТ Атом"
10 сот,2400000.0,"Московская область, г.о. Домодедово, с. Битягово, коттеджный пос. Мирный"
6.3 сот,1090000.0,"Республика Башкортостан, Уфимский р-н, д. Суровка"
8 сот,1900000.0,"Краснодарский край, г.о. Краснодар, станица Старокорсунская"
11 сот,450000.0,"Свердловская область, Сысертский г.о., пос. Бобровский"
18 сот,600000.0,"Тульская область, муниципальное образование Тула, д. Фёдоровка"
10 сот,1000000.0,"Чеченская Республика, Курчалоевский р-н, Курчалойское городское поселение, Курчалой"
5 сот,350000.0,"Тверская область, Калининский р-н, д. Новенькое"
15 сот,2850000.0,"Ленинградская область, Выборгский р-н, Полянское сельское поселение, пос. Пески, коттеджный пос. Акватория"
5.5 сот,1800000.0,"Краснодарский край, муниципальное образование Анапа, пос. Верхнее Джемете"
6.3 сот,880000.0,"Московская область, Дмитровский г.о., с. Игнатово"
,100000.0,"Тульская область, Ефремов"
55 сот,5500000.0,"Чеченская Республика, Шелковской р-н, Червлёнское сельское поселение, станица Червлённая"
,450.0,"Республика Дагестан, Каспийск, садоводческое некоммерческое товарищество Тенглик"
5 сот,2600000.0,"Краснодарский край, муниципальное образование Анапа, пос. Просторный"
10 сот,350000.0,"Ленинградская область, Выборгский р-н, Гончаровское сельское поселение, пос. Барышево"
12 сот,1680000.0,"Московская область, Дмитровский г.о., пос. Подосинки"
11 сот,460000.0,"Тюменская область, Нижневартовск, дачное некоммерческое товарищество Лада"
6.5 сот,2200000.0,"Москва, Троицкий административный округ, поселение Кленовское, д. Лукошкино"
7 сот,525000.0,"Ивановская область, Ивановский р-н, Беляницкое сельское поселение, с. Семёновское, коттеджный пос. Семёновское"
6 сот,8900000.0,"Краснодарский край, Сочи"
,1000000.0,"Хабаровский край, Хабаровск"
30 сот,55000.0,"Республика Башкортостан, Уфа"
9 сот,669000.0,"Республика Татарстан, Пестречинский р-н, Шигалеевское сельское поселение, садоводческое товарищество Заречье-2"
13.5 сот,50000.0,"Новгородская область, Новгородский р-н, Ермолинское сельское поселение, д. Плетниха"
12 сот,899000.0,"Московская область, г.о. Ступино, д. Вальцово"
9 сот,110000.0,"Республика Крым, Ленинский р-н, Мысовское сельское поселение, с. Семёновка"
25 сот,750000.0,"Московская область, г.о. Серпухов, д. Ивантиново"
